X,Y,Z,Label
3,-6,-3,smooth
5,0,-1,smooth
9,1,0,smooth
13,-3,-1,smooth
9,-4,-1,smooth
4,0,-1,smooth
5,3,-1,smooth
9,1,0,smooth
13,-3,0,smooth
10,-4,-1,smooth
7,-2,-1,smooth
8,3,0,smooth
13,-1,0,smooth
14,-4,-1,smooth
8,-4,-1,smooth
4,0,-1,smooth
4,3,-1,smooth
10,2,0,smooth
14,-3,0,smooth
9,-2,-1,smooth
7,2,0,smooth
14,-2,0,smooth
7,-1,-1,smooth
5,1,-1,smooth
10,0,-1,smooth
10,-2,-1,smooth
11,1,0,smooth
10,0,-1,smooth
11,1,-1,smooth
14,1,0,smooth
14,1,-1,smooth
15,1,-1,smooth
10,-2,-1,smooth
19,1,-1,smooth
9,-1,-1,smooth
8,-5,0,smooth
16,0,-1,smooth
18,2,0,smooth
10,-4,-1,smooth
7,-4,-1,pothole
12,-7,-1,pothole
10,-1,0,pothole
3,2,-2,pothole
7,-10,-2,pothole
11,-8,-1,smooth
15,-6,-1,smooth
7,-3,-1,smooth
8,-4,0,smooth
3,-4,-1,smooth
-1,0,-1,smooth
3,0,1,smooth
9,-2,0,smooth
20,-2,0,smooth
13,-10,1,smooth
12,-6,0,smooth
5,-10,0,smooth
12,-6,0,smooth
12,-6,-1,pothole
3,-7,0,pothole
6,0,-1,pothole
5,6,-1,pothole
7,9,0,pothole
4,6,0,pothole
7,7,1,smooth
17,3,2,smooth
14,-5,2,smooth
11,-5,1,smooth
16,-3,2,smooth
14,-1,2,smooth
11,-1,1,smooth
14,-1,2,smooth
11,1,2,smooth
9,3,1,smooth
4,6,2,smooth
11,2,1,smooth
17,0,2,smooth
11,7,1,smooth
9,5,0,smooth
11,8,1,smooth
7,9,1,smooth
8,9,0,smooth
9,3,2,smooth
11,0,2,smooth
6,-4,0,smooth
2,1,0,smooth
4,1,1,smooth
15,-2,0,smooth
7,-1,0,smooth
6,-4,0,smooth
5,-2,0,smooth
7,-4,0,smooth
6,-4,0,smooth
9,-7,0,smooth
10,-7,-2,smooth
2,3,-3,smooth
15,9,-3,smooth
16,-2,-2,smooth
9,-1,-1,smooth
17,-3,-2,smooth
6,-4,-3,pothole
12,1,-2,pothole
5,-3,-3,smooth
13,-4,-2,smooth
9,-5,-2,smooth
9,-3,-2,smooth
13,-6,-1,smooth
6,-7,-2,smooth
5,-5,-2,smooth
10,-3,-2,smooth
11,-2,-3,smooth
5,5,-3,smooth
3,4,-2,smooth
8,-5,-2,smooth
10,-2,-2,smooth
-6,3,-2,smooth
7,0,-1,smooth
8,-2,-2,smooth
2,2,-2,smooth
10,-2,-2,smooth
8,5,-2,smooth
8,-3,-1,smooth
10,-6,-1,smooth
10,-7,-1,smooth
6,0,-1,smooth
7,1,-1,smooth
6,1,-2,smooth
13,0,-1,smooth
12,0,-1,smooth
9,-4,-2,smooth
6,2,-1,smooth
9,3,-1,smooth
11,4,-1,smooth
8,4,-1,smooth
2,3,0,smooth
5,-4,1,pothole
4,-7,1,pothole
1,-2,1,pothole
4,0,-1,smooth
4,-3,1,smooth
