X,Y,Z,Label
3,1,-1,smooth
10,-9,0,smooth
11,-2,0,smooth
15,1,-1,smooth
13,-3,-1,smooth
10,-2,0,smooth
11,-7,1,smooth
6,0,0,smooth
3,-6,0,smooth
10,-6,0,smooth
1,1,0,smooth
15,-4,0,smooth
12,-1,-1,smooth
9,-3,-1,smooth
8,-7,0,smooth
11,-5,0,smooth
8,-5,-1,smooth
2,-8,-1,smooth
-3,3,0,smooth
6,-3,0,smooth
10,-8,-1,smooth
7,-9,0,smooth
1,-10,0,smooth
6,4,0,smooth
8,-4,0,smooth
10,-1,0,smooth
11,-3,-1,smooth
10,-12,0,smooth
6,-4,0,smooth
11,-9,-1,smooth
8,-10,-1,smooth
10,-8,0,smooth
11,-7,-1,smooth
14,-4,0,smooth
2,-7,-1,smooth
13,-4,0,smooth
7,-4,-1,smooth
1,-10,0,smooth
11,-6,-1,smooth
6,2,-1,smooth
0,2,0,smooth
9,-7,-1,smooth
4,0,-1,smooth
14,-2,0,smooth
11,-4,0,smooth
-4,-1,-1,smooth
3,-2,1,smooth
12,-5,-1,smooth
7,-7,-1,smooth
7,-3,0,smooth
12,-10,-1,smooth
5,-2,0,smooth
5,-2,-1,smooth
9,-4,0,smooth
5,-5,0,smooth
2,-8,-1,smooth
12,-1,-1,smooth
9,-10,-2,smooth
4,1,-3,smooth
13,-13,-2,smooth
4,-9,-2,smooth
6,-7,-2,smooth
5,-8,-2,smooth
13,-8,-1,smooth
12,-7,-2,smooth
12,0,-1,smooth
-2,0,-1,smooth
15,-10,-1,smooth
12,-9,-1,smooth
6,-1,0,smooth
10,-6,0,smooth
4,-5,0,smooth
13,-6,0,smooth
3,-6,-1,smooth
9,-4,-1,smooth
6,-6,0,smooth
16,-8,-1,smooth
-1,-6,-1,smooth
14,-10,-1,smooth
14,-8,-1,smooth
8,-4,-1,smooth
3,-5,-1,smooth
4,-3,-1,smooth
-2,0,0,smooth
16,-8,-1,smooth
12,-5,-1,smooth
5,-7,-1,smooth
5,-5,0,smooth
5,-2,0,smooth
3,1,-3,smooth
-3,3,2,smooth
6,-1,0,smooth
11,7,-3,smooth
3,13,-2,smooth
7,3,-1,smooth
2,15,-2,smooth
8,5,-1,smooth
12,3,-1,smooth
1,6,-1,smooth
6,8,-1,smooth
5,-1,-1,smooth
9,2,0,smooth
8,0,-1,smooth
-2,10,0,smooth
8,2,0,smooth
5,3,2,smooth
4,0,-1,smooth
1,6,-2,smooth
12,-1,-2,smooth
17,2,-1,smooth
10,-4,-1,smooth
10,0,-1,smooth
10,-2,0,smooth
8,2,0,smooth
5,-2,-1,smooth
11,0,-2,smooth
7,0,-2,smooth
7,4,-1,smooth
8,-4,-1,smooth
12,-2,-1,smooth
8,-4,0,smooth
5,-2,-1,smooth
12,-2,0,smooth
7,-1,0,smooth
5,-3,-1,smooth
17,-8,0,smooth
4,2,-2,smooth
4,-2,-1,smooth
15,-1,-1,smooth
14,-6,0,smooth
9,3,-1,smooth
12,-4,-1,smooth
11,-2,-1,smooth
3,2,0,smooth
1,-2,0,smooth
9,-2,0,smooth
16,-6,0,smooth
4,-5,-1,smooth
13,2,-1,smooth
8,-5,0,smooth
-1,2,-1,smooth
6,-3,-1,smooth
10,-3,-1,smooth
2,-1,0,smooth
8,-2,0,smooth
3,2,1,smooth
5,2,-1,smooth
8,-2,0,smooth
4,-4,0,smooth
8,0,0,smooth
7,-3,-1,smooth
6,1,-1,smooth
8,-3,-1,smooth
7,-1,0,smooth
2,0,0,smooth
7,-4,-1,smooth
0,-2,0,smooth
14,-9,-1,smooth
2,2,-1,smooth
9,-6,0,smooth
5,4,0,smooth
15,-3,-1,smooth
9,-4,0,smooth
8,1,-1,smooth
-3,-1,0,smooth
11,-5,-1,smooth
-1,-1,-1,smooth
5,-8,0,smooth
12,-1,0,smooth
1,3,-1,smooth
-1,0,-1,smooth
5,-1,-1,smooth
2,-4,0,smooth
8,-2,0,smooth
11,-6,-1,smooth
2,1,-1,smooth
3,-2,-1,smooth
5,-1,-1,smooth
5,0,-1,smooth
4,0,-1,smooth
7,-4,-1,smooth
8,-5,-1,smooth
10,-2,-1,smooth
4,-7,-1,smooth
4,-3,-1,smooth
4,-4,0,smooth
9,3,-1,smooth
9,-1,-1,smooth
0,3,-1,smooth
-2,0,0,smooth
10,-4,0,smooth
11,-8,-1,smooth
7,-9,0,smooth
6,-2,-1,smooth
3,1,0,smooth
15,-8,0,smooth
-4,4,-1,smooth
-5,0,-1,smooth
7,-4,0,smooth
3,-4,-1,smooth
2,-1,-1,smooth
10,-5,-1,smooth
11,-4,-1,smooth
0,-1,-1,smooth
-1,-1,-1,smooth
2,4,-1,smooth
8,-7,0,smooth
4,-6,-1,smooth
4,-2,0,smooth
7,-5,0,smooth
-1,-2,-1,smooth
5,-5,-1,smooth
8,1,-1,smooth
5,3,0,smooth
7,0,-1,smooth
10,-6,0,smooth
-4,-2,-1,smooth
9,-6,-1,smooth
12,-5,-2,smooth
4,-5,0,smooth
4,-2,0,smooth
4,-3,0,smooth
0,-2,0,smooth
11,-4,-1,smooth
11,-2,-1,smooth
9,-4,0,smooth
13,-7,-1,smooth
12,-4,-2,smooth
8,-4,-2,smooth
3,-1,-1,smooth
-1,2,-1,smooth
0,-4,0,smooth
18,-8,0,smooth
14,-5,-1,smooth
5,-2,0,smooth
3,-3,-1,smooth
6,2,-1,smooth
1,1,-1,smooth
5,-2,1,smooth
1,2,-1,smooth
5,3,-1,smooth
4,5,-1,smooth
9,-5,0,smooth
7,1,0,smooth
0,3,-1,smooth
-1,1,0,smooth
7,1,0,smooth
2,0,0,smooth
7,-6,0,smooth
8,-3,0,smooth
10,-8,-1,smooth
1,-9,-1,smooth
1,3,0,smooth
-9,7,1,smooth
-10,1,0,smooth
-7,5,0,smooth
-6,2,0,smooth
4,-5,-1,smooth
1,-1,-1,smooth
1,-4,-1,smooth
2,-5,-1,smooth
-1,0,-1,smooth
-3,-5,-1,smooth
-1,-4,-2,smooth
1,-6,-2,smooth
-13,4,-2,smooth
0,1,-1,smooth
3,-3,-2,smooth
1,-9,-1,smooth
-1,-4,-2,smooth
-4,2,-1,smooth
-2,-3,-2,smooth
3,-11,-2,smooth
-1,-7,-3,smooth
1,-5,-3,smooth
5,-5,-3,smooth
-4,-7,-4,smooth
4,-6,-7,smooth
10,-13,-8,smooth
3,-13,-8,smooth
3,-20,-10,smooth
6,-16,-12,smooth
8,-17,-13,smooth
11,-19,-15,smooth
6,-17,-17,smooth
10,-26,-18,smooth
8,-24,-18,smooth
5,-21,-19,smooth
0,-16,-19,smooth
9,-24,-19,smooth
12,-14,-20,smooth
9,-18,-20,smooth
12,-22,-21,smooth
3,-17,-19,smooth
14,-23,-20,smooth
10,-16,-20,smooth
12,-24,-20,smooth
9,-10,-20,smooth
0,-12,-19,smooth
11,-21,-19,smooth
5,-18,-19,smooth
-2,-10,-19,smooth
14,-19,-19,smooth
4,-15,-19,smooth
4,-11,-19,smooth
6,-10,-18,smooth
8,-18,-18,smooth
3,-14,-17,smooth
5,-16,-17,smooth
11,-11,-17,smooth
5,-10,-16,smooth
1,-10,-15,smooth
16,-5,-12,smooth
9,-14,-9,smooth
12,-9,-10,pothole
4,6,-7,pothole
5,1,-6,pothole
8,-1,-6,pothole
18,-17,-1,pothole
11,-24,-5,pothole
8,14,-6,pothole
1,0,-3,smooth
18,3,-4,smooth
13,-8,1,smooth
0,-9,0,smooth
22,-7,1,smooth
13,9,1,smooth
11,9,1,smooth
21,15,1,smooth
29,-2,1,smooth
14,-1,1,smooth
10,-19,2,smooth
14,9,2,smooth
20,-3,3,smooth
0,4,1,smooth
10,3,0,smooth
23,-5,1,smooth
-9,-9,6,smooth
17,-4,3,smooth
28,-4,0,smooth
24,-10,5,smooth
-7,15,3,smooth
-9,-13,-1,smooth
1,-6,-1,smooth
-18,-5,0,pothole
-3,1,0,pothole
7,1,-1,smooth
9,-13,-3,smooth
-14,4,-6,smooth
2,-6,-9,pothole
-3,-29,-9,pothole
-9,-22,-9,pothole
7,-3,-11,pothole
6,-19,-9,pothole
8,-27,-9,pothole
15,0,-12,pothole
25,-2,-6,pothole
-1,-2,-6,pothole
11,-10,-6,pothole
10,1,-8,pothole
16,-3,-5,pothole
22,-12,-4,pothole
12,-14,-2,smooth
9,-8,-1,smooth
10,7,-1,smooth
2,1,2,smooth
18,4,0,smooth
17,9,2,smooth
-2,15,4,smooth
8,5,3,smooth
16,-9,5,pothole
-11,-1,6,pothole
0,-2,12,pothole
-13,-3,5,pothole
1,10,2,pothole
-3,4,7,pothole
-6,-6,4,pothole
8,4,3,pothole
4,4,3,smooth
17,-10,4,smooth
12,-5,1,smooth
15,7,-1,smooth
19,-7,4,smooth
13,-7,1,smooth
17,-15,1,smooth
17,-10,1,smooth
14,-9,1,smooth
-5,-12,-1,smooth
14,-4,0,smooth
10,11,-3,smooth
26,-1,-2,smooth
31,-4,0,smooth
-12,-8,-3,smooth
-6,-6,-3,smooth
3,-19,-2,pothole
20,-24,-4,pothole
18,-2,-4,pothole
17,-2,-2,pothole
8,1,0,pothole
4,-5,-3,pothole
11,-1,-2,pothole
-3,4,0,pothole
0,-8,-2,smooth
-6,-7,-3,smooth
21,14,-2,smooth
-8,-4,-1,smooth
-10,-9,-1,smooth
4,-10,-1,smooth
-7,5,-2,smooth
-7,-5,0,smooth
12,-13,-2,smooth
3,0,-2,smooth
-2,-2,-2,smooth
-2,1,-1,smooth
-3,-11,0,smooth
4,-7,-2,smooth
4,-2,-2,smooth
-6,-5,0,smooth
-10,-8,0,smooth
6,-12,-1,smooth
1,-2,-1,smooth
-2,-4,-1,smooth
3,-7,-1,smooth
-1,-4,-1,smooth
-4,-1,-1,smooth
0,-6,-1,smooth
3,-6,-1,smooth
6,-3,-1,smooth
12,-2,0,smooth
13,-6,-1,smooth
11,-5,-1,smooth
7,-2,-1,smooth
5,0,-1,smooth
10,-2,-1,smooth
11,-5,-1,smooth
12,-6,-1,smooth
8,-4,-1,smooth
7,-1,0,smooth
12,-4,-1,smooth
13,-6,-1,smooth
11,-7,-1,smooth
7,-3,-1,smooth
5,0,-1,smooth
7,0,0,smooth
10,-3,0,smooth
13,-6,-1,smooth
7,-2,-1,smooth
5,0,-1,smooth
