X,Y,Z,Label
12,1,0,smooth
13,-2,-1,smooth
10,-2,-1,smooth
7,1,-1,smooth
8,1,-1,smooth
12,-3,-1,smooth
10,-3,-1,smooth
8,0,-1,smooth
8,1,-1,smooth
11,-2,-1,smooth
12,-4,-1,smooth
9,-2,-1,smooth
7,1,-1,smooth
8,1,-1,smooth
13,-3,-1,smooth
9,-3,-1,smooth
7,0,-1,smooth
8,1,-1,smooth
11,-1,0,smooth
12,-3,-1,smooth
8,-2,-1,smooth
8,0,-1,smooth
7,2,0,smooth
12,-3,-1,smooth
10,-3,-1,smooth
8,-1,-1,smooth
6,1,-1,smooth
9,2,-1,smooth
11,-1,0,smooth
12,-3,-1,smooth
10,-4,-1,smooth
6,-1,-1,smooth
9,-1,0,smooth
12,-4,-1,smooth
12,-4,-1,smooth
8,0,-1,smooth
11,0,-1,smooth
12,0,-1,smooth
11,0,-1,smooth
17,-1,-1,smooth
14,-2,-1,smooth
14,1,0,smooth
14,-2,-1,smooth
15,-3,-1,smooth
14,-2,-1,smooth
18,0,-1,smooth
19,-1,-1,smooth
12,-3,-1,smooth
21,0,-1,smooth
14,-2,-2,smooth
26,6,-2,pothole
5,3,-2,smooth
17,-11,-3,smooth
26,-4,-2,smooth
10,1,-3,smooth
19,-6,-3,smooth
15,-2,-3,smooth
14,-1,-4,smooth
12,-5,-4,smooth
16,1,-4,smooth
17,-2,-4,smooth
14,0,-4,smooth
11,-2,-4,smooth
9,2,-4,smooth
-1,1,-3,smooth
8,-6,-2,smooth
12,0,-2,smooth
9,1,-1,smooth
10,-6,-2,smooth
11,-4,-1,smooth
14,-5,-2,smooth
19,-2,-2,smooth
10,1,-3,smooth
11,-1,1,smooth
17,-2,1,smooth
24,-4,1,smooth
14,-9,1,smooth
-5,1,-1,smooth
-8,2,-2,smooth
11,14,-2,smooth
13,10,1,smooth
21,5,1,smooth
2,2,0,smooth
14,-2,0,smooth
13,4,-1,smooth
5,1,0,smooth
2,6,0,smooth
16,-3,1,smooth
-6,-4,1,smooth
11,4,0,smooth
6,5,0,smooth
16,3,1,smooth
2,6,-1,smooth
12,0,1,smooth
12,-5,0,smooth
4,-5,-1,smooth
24,-3,1,smooth
11,7,0,smooth
22,4,1,smooth
13,7,0,smooth
10,7,0,smooth
13,5,1,smooth
8,-2,1,smooth
11,3,-1,smooth
21,3,2,smooth
21,2,2,smooth
12,9,0,smooth
5,12,0,smooth
1,0,1,smooth
3,-6,3,smooth
11,2,2,smooth
17,-5,1,smooth
4,-5,0,smooth
9,3,0,smooth
1,16,-1,smooth
23,2,4,smooth
10,-14,2,smooth
12,-5,3,smooth
5,-6,1,smooth
4,2,0,smooth
9,10,1,smooth
3,3,1,smooth
8,-6,2,smooth
7,-4,1,smooth
22,4,0,smooth
4,0,1,smooth
6,-2,0,smooth
14,1,-1,smooth
6,-8,-1,smooth
6,-12,-2,smooth
5,-12,-4,smooth
5,0,-7,smooth
9,-2,-6,smooth
8,-9,-5,smooth
8,2,-7,smooth
6,-5,-5,smooth
11,-12,-6,smooth
16,-5,-7,smooth
0,-1,-5,smooth
6,-14,-4,pothole
0,-4,-5,pothole
9,-5,-4,pothole
8,0,-5,pothole
1,2,-5,pothole
15,-8,-1,pothole
12,-2,-3,pothole
19,-4,-1,pothole
3,-8,-1,pothole
11,8,-1,pothole
15,11,0,pothole
20,7,2,pothole
-10,4,3,pothole
-1,-1,2,pothole
5,4,1,pothole
2,5,0,pothole
8,16,1,pothole
14,6,0,pothole
10,13,1,pothole
5,-1,2,pothole
22,-15,5,pothole
14,-9,2,pothole
9,-2,0,pothole
21,1,0,pothole
20,6,-2,pothole
11,-7,0,pothole
17,1,2,pothole
15,1,1,pothole
8,2,1,pothole
-1,4,2,pothole
17,-4,3,pothole
13,3,0,pothole
19,0,2,pothole
4,11,1,pothole
1,17,0,pothole
4,-7,1,pothole
8,-13,1,pothole
15,-5,-3,pothole
15,4,-1,pothole
14,3,-3,pothole
14,2,-4,pothole
7,-4,-2,pothole
20,-4,-2,smooth
2,17,-7,smooth
12,4,-1,pothole
8,-13,0,pothole
6,3,-3,pothole
17,1,-2,pothole
8,10,-1,pothole
17,-4,1,pothole
4,-1,-2,pothole
21,3,-1,pothole
20,3,-1,pothole
23,4,-2,pothole
12,-15,0,pothole
11,-9,-1,pothole
10,2,-2,pothole
4,1,-3,pothole
14,0,-2,pothole
8,1,-2,smooth
3,-5,-3,smooth
-1,-1,-2,smooth
7,-10,-2,smooth
9,0,-3,smooth
17,0,-2,smooth
-4,-3,-3,smooth
4,3,-1,smooth
12,0,-1,smooth
4,5,0,smooth
15,-4,0,smooth
-3,-1,0,smooth
0,2,0,smooth
-6,2,0,smooth
11,-5,0,smooth
2,1,1,smooth
13,4,1,smooth
2,-1,0,smooth
0,4,-1,smooth
