X,Y,Z,Label
3,-2,-1,smooth
0,-6,0,smooth
-1,-1,-1,smooth
-4,2,-1,smooth
12,0,0,smooth
9,5,0,smooth
28,2,-2,pothole
4,0,-2,pothole
-3,-2,-1,smooth
14,-2,0,smooth
10,8,-1,smooth
7,0,-1,smooth
-8,2,-1,smooth
18,4,-3,smooth
12,-3,1,smooth
18,13,22,smooth
12,-4,0,smooth
7,9,0,pothole
2,-3,1,smooth
9,-1,-1,smooth
14,13,-2,pothole
8,1,0,pothole
5,14,-3,smooth
1,6,-2,smooth
10,-5,1,smooth
12,-3,2,pothole
2,-2,1,smooth
3,3,0,pothole
11,4,-1,pothole
13,-6,-1,smooth
10,-8,-1,pothole
11,-1,-14,smooth
2,-1,-2,smooth
13,-6,4,pothole
1,-9,-3,smooth
3,7,-4,smooth
4,-8,-2,smooth
8,2,0,smooth
11,1,0,smooth
6,3,-1,smooth
12,2,0,smooth
10,1,-5,pothole
17,5,7,smooth
3,-3,-3,pothole
4,8,-1,pothole
20,-11,1,pothole
13,-1,2,pothole
6,-1,-1,smooth
7,-10,-2,smooth
13,2,1,pothole
18,6,1,pothole
-5,4,-1,smooth
3,11,-4,smooth
14,-3,0,smooth
9,5,-3,smooth
11,3,2,pothole
6,-9,1,pothole
11,10,-1,smooth
3,-1,0,smooth
-1,-7,-3,smooth
11,-2,-5,smooth
4,-5,-3,pothole
10,0,-1,smooth
13,4,-2,smooth
10,-6,-1,pothole
25,11,1,pothole
4,-8,-1,smooth
4,1,-1,smooth
11,-3,-1,smooth
5,-1,-3,smooth
8,-9,-2,smooth
9,-2,1,smooth
13,-5,2,pothole
14,-6,-1,pothole
7,-20,2,pothole
9,-12,-24,smooth
5,-10,2,smooth
8,0,0,smooth
-3,-4,1,pothole
-1,5,6,smooth
14,-2,-1,pothole
6,0,-1,smooth
3,-5,-1,pothole
2,3,-4,smooth
5,0,0,smooth
4,6,-4,smooth
8,-1,-1,smooth
11,-4,0,smooth
8,1,-2,smooth
-1,-9,-2,smooth
7,-1,-1,pothole
16,-2,4,smooth
5,3,-2,smooth
8,2,0,pothole
-5,9,2,pothole
11,-24,-5,pothole
8,9,0,pothole
12,5,4,smooth
16,-8,-5,smooth
1,3,-2,pothole
8,0,0,smooth
6,-5,0,smooth
10,-1,0,smooth
3,-2,1,smooth
-7,-3,-1,smooth
-3,1,0,pothole
-7,2,0,smooth
12,-10,1,smooth
8,-1,-2,smooth
11,-1,3,smooth
11,-5,-1,smooth
7,5,0,smooth
6,-3,-1,smooth
13,-7,-1,smooth
22,-12,3,smooth
3,-1,-3,pothole
17,3,-4,pothole
4,-1,-3,smooth
8,-2,-3,pothole
10,3,1,smooth
22,20,-1,smooth
5,1,-6,pothole
1,-5,0,smooth
18,-8,-4,smooth
11,7,-3,smooth
17,6,8,smooth
2,4,0,smooth
3,3,0,smooth
11,-6,-3,pothole
13,0,0,smooth
17,2,-2,pothole
20,-6,4,pothole
7,5,-5,smooth
-1,16,3,pothole
6,0,-1,pothole
11,-7,-1,smooth
19,3,1,smooth
-2,0,3,smooth
33,-3,2,smooth
7,-11,2,pothole
6,-2,-1,smooth
13,-7,3,pothole
13,-13,-23,smooth
9,-1,-1,smooth
12,7,-1,smooth
5,-1,-1,smooth
11,8,-4,pothole
15,-1,-1,pothole
5,-6,1,smooth
7,2,-1,smooth
7,-8,4,pothole
7,2,0,smooth
7,9,1,smooth
5,3,-1,smooth
2,0,3,pothole
17,-4,0,smooth
12,-1,-4,pothole
-2,10,0,smooth
1,-2,-1,smooth
5,7,-2,pothole
14,5,-1,pothole
9,-9,-1,smooth
8,5,-1,smooth
14,8,-2,smooth
8,-5,3,pothole
11,2,3,pothole
3,-11,-1,pothole
9,-5,-1,smooth
5,-5,1,smooth
12,2,0,smooth
6,3,-3,smooth
6,-2,-1,smooth
-5,6,-1,smooth
14,0,-1,smooth
-5,5,-3,smooth
7,-3,-1,smooth
9,3,2,smooth
8,11,1,pothole
15,5,0,smooth
5,6,1,smooth
0,6,-2,pothole
15,5,2,pothole
8,-5,1,smooth
3,-4,-1,smooth
8,3,0,smooth
2,-1,0,smooth
11,-4,10,pothole
18,2,-1,pothole
10,-4,0,smooth
16,-5,0,smooth
16,-4,0,smooth
8,-2,-1,smooth
7,-1,-2,pothole
10,0,1,smooth
11,8,-1,pothole
22,4,0,pothole
3,4,-3,pothole
8,-13,0,pothole
10,3,-2,smooth
